#,id,address,city,street_with_building,apartment_number,rooms,area_m2,price,price_m2,link,img_url,object_important_note,description,date_activated,advertisement_level,floor,total_floors,year_built
1,1680704,"Tallinn, Kesklinn, J. Kunderi tn 17",Tallinn,J. Kunderi tn 17,,2,48.7,179000,3675,https://www.kv.ee/ru/muugile-on-tulnud-2toaline-korter-j-kunderi-ja-f-k-1680704.html,https://kv.img-bcg.eu/image/object/43/1361/128841361.jpg,Kindel investeering logistiliselt suurepärasesse asukohta!,"Этаж 4/4, квартирная собственность, каменный дом, год постройки 1940, нуждается в ...",2025-06-17 15:20:50.263491,,4,4,1940
2,1709635,"Tallinn, Vanalinn, Viru 7",Tallinn,Viru 7,,3,110.4,349000,3161,https://www.kv.ee/ru/muua-hubane-vanalinna-korter-kusi-ka-partnerpakkum-1709635.html,https://kv.img-bcg.eu/image/object/43/3967/126193967.jpg,,Этаж 2/3,2025-01-08 20:30:47.732055,,2,3,
3,2984627,"Tallinn, Haabersti, Õismäe tee",Tallinn,Õismäe tee,,3,65.9,135000,2048,https://www.kv.ee/ru/muua-renoveeritud-3toaline-korter-hea-asukohaga-oi-2984627.html,https://kv.img-bcg.eu/image/object/43/6687/57356687.jpg,,"Этаж 5/9, квартирная собственность, панельный дом, обновлённый, электрическая плита, ...",2025-06-19 11:33:41.597479,,5,9,
4,3044883,"Tallinn, Lasnamäe, Liikuri 32",Tallinn,Liikuri 32,,3,61.7,133500,2163,https://www.kv.ee/ru/pakkumisel-3toaline-korter-hinnatud-liikuri-linnao-3044883.html,https://kv.img-bcg.eu/image/object/43/7157/58907157.jpg,Korter telliskivimajas.,"Этаж 2/5, квартирная собственность, каменный дом, год постройки 1987, нуждается в ...",2025-04-09 19:07:12.018526,,2,5,1987
5,3109565,"Tallinn, Vanalinn, Lühike jalg 4",Tallinn,Lühike jalg 4,,3,94,430000,4574,https://www.kv.ee/ru/muua-hubane-ja-avar-korter-ajaloolises-majas-talli-3109565.html,https://kv.img-bcg.eu/image/object/43/1635/125501635.jpg,Lummavad vaated!,Этаж 3/3,2024-03-24 12:31:48.523792,0,3,3,
6,3114833,"Tallinn, Kesklinn, Südalinn, Narva mnt 9",Tallinn,Narva mnt 9,,3,77.4,215900,2789,https://www.kv.ee/ru/muua-3toaline-korter-sudalinnas-foorumist-200-meet-3114833.html,https://kv.img-bcg.eu/image/object/43/4187/126784187.jpg,Тихая квартира в самом центре,"Этаж 3/7, квартирная собственность, каменный дом, год постройки 1958, санремонт сделан, ...",2025-02-12 17:24:28.322888,,3,7,1958
7,3146757,"Tallinn, Mustamäe, Hea pakkumine!!!, Sõpruse pst 216--",Tallinn,Sõpruse pst 216--,,4,60.2,125000,2076,https://www.kv.ee/ru/kortermuuki-on-tulnud-avar-heledates-toonides-4toa-3146757.html,https://kv.img-bcg.eu/image/object/43/2776/127532776.jpg,HEA HIND!!! ILUS KORTER!!!,"Этаж 5/5, квартирная собственность, панельный дом, год постройки 1968, обновлённый, ...",2024-08-26 12:20:23.930806,,5,5,1968
8,3460803,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 5-35",Tallinn,Pikaliiva tn 5,35,4,82.8,318490,3846,https://www.kv.ee/ru/eripakkumine-kodu-hinna-sees-sisaldub-bonava-koogi-3460803.html,https://kv.img-bcg.eu/image/object/43/5037/120575037.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 4/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-08-24 14:07:10.368947,,4,4,2023
9,3438267,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 5-33",Tallinn,Pikaliiva tn 5,33,2,45.9,179900,3919,https://www.kv.ee/ru/eripakkumisena-uues-kodus-koogimoobel-hinna-sees-v-3438267.html,https://kv.img-bcg.eu/image/object/43/7553/118277553.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 4/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-10 09:45:25.79328,0,4,4,2023
10,3438840,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 7-31",Tallinn,Pikaliiva tn 7,31,2,43.1,185900,4313,https://www.kv.ee/ru/eripakkumine-kodu-hinna-sees-sisaldub-koogimoobel-3438840.html,https://kv.img-bcg.eu/image/object/43/6075/120596075.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 4/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-13 09:27:22.700434,0,4,4,2023
11,3425451,"Tallinn, Mustamäe, Uus-mustamäe, Aiandi 16/1-14",Tallinn,Aiandi 16/1,14,2,48.7,199990,4106,https://www.kv.ee/ru/labimoeldud-planeering-ja-kvaliteetne-siseviimistl-3425451.html,https://kv.img-bcg.eu/image/object/43/1568/119261568.jpg,Самый выгодный выбор нового жилья,"Этаж 2/4, квартирная собственность, каменный дом, год постройки 2023, новый, терасса, ...",2022-04-25 13:23:19.067999,0,2,4,2023
12,3438263,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 5-32",Tallinn,Pikaliiva tn 5,32,3,68,275490,4051,https://www.kv.ee/ru/eripakkumine-kodu-hinna-sees-sisaldub-koogimoobel-3438263.html,https://kv.img-bcg.eu/image/object/43/7187/118277187.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 4/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-10 09:41:57.374987,0,4,4,2023
13,3425736,"Tallinn, Mustamäe, Uus-mustamäe, Aiandi 16/2-33",Tallinn,Aiandi 16/2,33,3,62,260490,4201,https://www.kv.ee/ru/labimoeldud-planeering-ja-kvaliteetne-siseviimistl-3425736.html,https://kv.img-bcg.eu/image/object/43/5695/119495695.jpg,Самый выгодный выбор нового жилья,"Этаж 6/8, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-04-25 14:10:06.996686,0,6,8,2023
14,3438918,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 7-38",Tallinn,Pikaliiva tn 7,38,3,64.5,264900,4106,https://www.kv.ee/ru/eripakkumisena-uues-kodus-koogimoobel-hinna-sees-v-3438918.html,https://kv.img-bcg.eu/image/object/43/6348/120596348.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 4/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-13 12:57:51.353403,0,4,4,2023
15,3460807,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 5-37",Tallinn,Pikaliiva tn 5,37,2,43,182990,4255,https://www.kv.ee/ru/eripakkumine-kodu-hinna-sees-sisaldub-koogimoobel-3460807.html,https://kv.img-bcg.eu/image/object/43/5088/120575088.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 4/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-08-24 14:09:47.385949,0,4,4,2023
16,3438268,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 5-36",Tallinn,Pikaliiva tn 5,36,3,66.5,274490,4127,https://www.kv.ee/ru/kaasaegne-3toaline-korter-rodu-ja-garderoobiga-eri-3438268.html,https://kv.img-bcg.eu/image/object/43/7577/118277577.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 4/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-10 09:55:21.705406,0,4,4,2023
17,3438134,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 5-11",Tallinn,Pikaliiva tn 5,11,4,82.9,313490,3781,https://www.kv.ee/ru/eripakkumine-kodu-hinna-sees-sisaldub-bonava-koogi-3438134.html,https://kv.img-bcg.eu/image/object/43/6718/118276718.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 2/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-10 08:52:02.44976,0,2,4,2023
18,3425729,"Tallinn, Mustamäe, Uus-mustamäe, Aiandi 16/2-26",Tallinn,Aiandi 16/2,26,3,61.6,260490,4228,https://www.kv.ee/ru/labimoeldud-planeering-ja-kvaliteetne-siseviimistl-3425729.html,https://kv.img-bcg.eu/image/object/43/5102/119465102.jpg,Самый выгодный выбор нового жилья,"Этаж 5/8, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-04-25 13:55:30.94132,0,5,8,2023
19,3438256,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 5-25",Tallinn,Pikaliiva tn 5,25,4,82.8,315490,3810,https://www.kv.ee/ru/eripakkumine-kodu-hinna-sees-sisaldub-bonava-koogi-3438256.html,https://kv.img-bcg.eu/image/object/43/2530/120482530.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 3/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-10 09:10:13.279824,,3,4,2023
20,3438140,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 5-13",Tallinn,Pikaliiva tn 5,13,2,45.9,167490,3649,https://www.kv.ee/ru/eripakkumine-kodu-hinna-sees-sisaldub-bonava-koogi-3438140.html,https://kv.img-bcg.eu/image/object/43/2754/120382754.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 2/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-10 08:57:07.959828,0,2,4,2023
21,3438919,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 7-39",Tallinn,Pikaliiva tn 7,39,3,63.2,264900,4191,https://www.kv.ee/ru/kaasaegne-ja-energiatohus-3toaline-korter-rodu-ja-3438919.html,https://kv.img-bcg.eu/image/object/43/7006/120597006.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 4/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-13 13:03:58.180707,0,4,4,2023
22,3460837,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 7-28",Tallinn,Pikaliiva tn 7,28,3,63.2,281490,4453,https://www.kv.ee/ru/eripakkumine-kodu-hinna-sees-sisaldub-bonava-koogi-3460837.html,https://kv.img-bcg.eu/image/object/43/7225/120597225.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 3/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-08-24 14:48:28.880548,0,3,4,2023
23,3425731,"Tallinn, Mustamäe, Uus-mustamäe, Aiandi 16/2-29",Tallinn,Aiandi 16/2,29,2,40.8,177990,4362,https://www.kv.ee/ru/labimoeldud-planeering-ja-kvaliteetne-siseviimistl-3425731.html,https://kv.img-bcg.eu/image/object/43/5955/119465955.jpg,Самый выгодный выбор нового жилья,"Этаж 6/8, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-04-25 13:56:07.212621,0,6,8,2023
24,3438354,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 7-24",Tallinn,Pikaliiva tn 7,24,3,66,273490,4143,https://www.kv.ee/ru/eripakkumisena-uues-kodus-koogimoobel-hinna-sees-v-3438354.html,https://kv.img-bcg.eu/image/object/43/5739/120595739.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 3/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-10 12:56:12.832851,,3,4,2023
25,3438308,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 7-11",Tallinn,Pikaliiva tn 7,11,3,64.5,249990,3875,https://www.kv.ee/ru/eripakkumisena-uues-kodus-koogimoobel-hinna-sees-v-3438308.html,https://kv.img-bcg.eu/image/object/43/5204/120575204.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 2/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-10 11:06:01.827731,0,2,4,2023
26,3438843,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 7-33",Tallinn,Pikaliiva tn 7,33,3,64.5,264900,4106,https://www.kv.ee/ru/eripakkumisena-uues-kodus-koogimoobel-hinna-sees-v-3438843.html,https://kv.img-bcg.eu/image/object/43/6120/120596120.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 4/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-13 09:32:23.357661,0,4,4,2023
27,3438315,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 7-16",Tallinn,Pikaliiva tn 7,16,3,64.5,279490,4333,https://www.kv.ee/ru/eripakkumine-kodu-hinna-sees-sisaldub-bonava-koogi-3438315.html,https://kv.img-bcg.eu/image/object/43/6743/120596743.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 2/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-10 11:17:33.824046,0,2,4,2023
28,3460778,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 5-23",Tallinn,Pikaliiva tn 5,23,2,45.9,179900,3919,https://www.kv.ee/ru/eripakkumisena-uues-kodus-koogimoobel-hinna-sees-v-3460778.html,https://kv.img-bcg.eu/image/object/43/6773/118276773.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 3/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-08-24 13:48:13.848691,0,3,4,2023
29,3438312,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 7-13",Tallinn,Pikaliiva tn 7,13,3,66,269900,4089,https://www.kv.ee/ru/eripakkumine-kodu-hinna-sees-sisaldub-bonava-koogi-3438312.html,https://kv.img-bcg.eu/image/object/43/6685/120596685.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 2/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-10 11:13:08.775955,,2,4,2023
30,3438257,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 5-26",Tallinn,Pikaliiva tn 5,26,3,66.5,271490,4082,https://www.kv.ee/ru/stiilne-ja-energiatohus-3toaline-korter-kaasaegses-3438257.html,https://kv.img-bcg.eu/image/object/43/4690/126504690.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 3/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-10 09:12:23.349835,,3,4,2023
31,3438287,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 7-8",Tallinn,Pikaliiva tn 7,8,2,52.8,198000,3750,https://www.kv.ee/ru/eripakkumine-kodu-hinna-sees-sisaldub-koogimoobel-3438287.html,https://kv.img-bcg.eu/image/object/43/6438/120596438.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 1/4, квартирная собственность, каменный дом, год постройки 2023, новый, терасса, ...",2022-06-10 10:25:34.484657,0,1,4,2023
32,3460793,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 5-29",Tallinn,Pikaliiva tn 5,29,2,43,179990,4185,https://www.kv.ee/ru/eripakkumine-kodu-hinna-sees-sisaldub-bonava-koogi-3460793.html,https://kv.img-bcg.eu/image/object/43/6854/118276854.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 4/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-08-24 13:56:20.221193,0,4,4,2023
33,3438324,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 7-22",Tallinn,Pikaliiva tn 7,22,3,64.5,259000,4015,https://www.kv.ee/ru/eripakkumisena-uues-kodus-koogimoobel-hinna-sees-v-3438324.html,https://kv.img-bcg.eu/image/object/43/6841/120596841.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 3/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-10 11:36:12.556787,0,3,4,2023
34,3438356,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 7-27",Tallinn,Pikaliiva tn 7,27,3,64.5,281490,4364,https://www.kv.ee/ru/eripakkumisena-uues-kodus-koogimoobel-hinna-sees-v-3438356.html,https://kv.img-bcg.eu/image/object/43/5881/120595881.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 3/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-10 13:00:11.611327,,3,4,2023
35,3438306,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 7-10",Tallinn,Pikaliiva tn 7,10,3,63.1,259990,4120,https://www.kv.ee/ru/eripakkumisena-uues-kodus-koogimoobel-hinna-sees-v-3438306.html,https://kv.img-bcg.eu/image/object/43/6658/120596658.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 2/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-06-10 11:03:53.726413,0,2,4,2023
36,3460797,"Tallinn, Haabersti, Pikaliiva, Pikaliiva tn 5-30",Tallinn,Pikaliiva tn 5,30,3,67.1,277490,4135,https://www.kv.ee/ru/eripakkumine-kodu-hinna-sees-sisaldub-koogimoobel-3460797.html,https://kv.img-bcg.eu/image/object/43/3147/120773147.jpg,"Kласса энергоэффективности А, готово к заселению!","Этаж 4/4, квартирная собственность, каменный дом, год постройки 2023, новый, балкон ...",2022-08-24 13:59:24.149291,,4,4,2023
