#,id,address,city,street_with_building,apartment_number,rooms,area_m2,price,price_m2,link,img_url,created_at
1,853908,"Räga tn 10, Pikaliiva, Haabersti",Tallinn,Räga tn 10,,2,55,169000,3056.06,https://kinnisvara24.ee/korter-muuk-tallinn/240853908,https://src.kv24.ee/uploads/a1/images/a34f7a0c-3b70-4b0f-bf6c-d30f68adb722.jpg,2025-06-22T12:45:12.000000+03:00
2,853900,"Järveotsa tee 43, Väike-Õismäe, Haabersti",Tallinn,Järveotsa tee 43,,1,33,83000,2538.23,https://kinnisvara24.ee/korter-muuk-tallinn/240853900,https://src.kv24.ee/uploads/a1/images/fb80770f-dd2b-49f6-9a59-01579ad3a8bf.jpg,2025-06-22T11:45:54.000000+03:00
3,853892,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kungla tn 28/1",Tallinn,Kungla tn 28/1,,2,52,175000,3365.38,https://kinnisvara24.ee/korter-muuk-tallinn/240853892,https://src.kv24.ee/uploads/a1/images/08cae1db-5bb3-4888-909b-63bd71252343.jpg,2025-06-22T09:57:28.000000+03:00
4,853883,"Narva mnt 174b/2, Lasnamäe linnaosa, Tallinn, Harju maakond",Tallinn,Narva mnt 174b/2,22,0,51,149000,2915.85,https://kinnisvara24.ee/korter-muuk-tallinn/240853883,https://src.kv24.ee/uploads/a1/images/fc27edf7-013c-49f7-beae-cd3dd8ce2ebd.jpg,2025-06-21T21:55:36.000000+03:00
5,853834,"Rõugu 1/2, Haabersti linnaosa, Tallinn, Harju maakond",Tallinn,Rõugu tn 1/2,49,4,87,259000,2987.31,https://kinnisvara24.ee/korter-muuk-tallinn/240853834,https://src.kv24.ee/uploads/a1/images/acea0a98-ddfe-45d2-822e-a91370670169.jpg,2025-06-21T07:55:32.000000+03:00
6,842223,"Tammsaare tee 121, Mustamäe linnaosa, Tallinn, Harju maakond",Tallinn,A. H. Tammsaare tee 121,3,3,47,124000,2649.57,https://kinnisvara24.ee/korter-muuk-tallinn/240842223,https://src.kv24.ee/uploads/a1/images/aa9f6f97-0779-46e0-95d4-bb86e0e3409a.jpg,2025-04-05T12:57:22.000000+03:00
7,801157,"Härjapea tn 6/1, Põhja-Tallinn",Tallinn,Härjapea tn 6/1,,3,42,140000,3365.38,https://kinnisvara24.ee/korter-muuk-tallinn/240801157,https://src.kv24.ee/uploads/a1/images/032ad0ad-974d-4070-99b2-714a0250b2ec.jpg,2024-08-02T14:12:52.000000+03:00
8,853827,"Uuslinna 9/1, Kesklinna linnaosa, Tallinn, Harju maakond",Tallinn,Uuslinna tn 9/1,1,3,79,281000,3561.47,https://kinnisvara24.ee/korter-muuk-tallinn/240853827,https://src.kv24.ee/uploads/a1/images/91ca5c47-e9c8-4ac9-9656-d570916f95a5.jpg,2025-06-20T21:55:38.000000+03:00
9,853818,"Jõeküla tee 18/2, Haabersti linnaosa, Tallinn, Harju maakond",Tallinn,Jõeküla tee 18/2,8,2,51,197000,3870.33,https://kinnisvara24.ee/korter-muuk-tallinn/240853818,https://src.kv24.ee/uploads/a1/images/b60a9f41-f4a3-4674-a4f4-037d11fe5ad3.jpg,2025-06-20T19:55:36.000000+03:00
10,853803,"Luste tn 5, Põhja-Tallinn",Tallinn,Luste tn 5,,2,46,162000,3506.49,https://kinnisvara24.ee/korter-muuk-tallinn/240853803,https://src.kv24.ee/uploads/a1/images/32623bde-58d4-4c8d-8839-49e44a6364a1.jpg,2025-06-20T17:15:16.000000+03:00
